title,imdbId,year,tmdbId
The Shawshank Redemption,tt0111161,1994,
The Godfather,tt0068646,1972,
Casablanca,tt0034583,1942,
12 Angry Men,tt0050083,1957,
Schindler's List,tt0108052,1993,
The Sound of Music,tt0059742,1965,
Forrest Gump,tt0109830,1994,
It's a Wonderful Life,tt0038650,1946,
To Kill a Mockingbird,tt0056592,1962,
Gone with the Wind,tt0031381,1939,
The Green Mile,tt0120689,1999,
Rain Man,tt0095953,1988,
Driving Miss Daisy,tt0097239,1989,
The King's Speech,tt1504320,2010,
A Beautiful Mind,tt0268978,2001,
The Bridge on the River Kwai,tt0050212,1957,
Lawrence of Arabia,tt0056172,1962,
Doctor Zhivago,tt0059113,1965,
Ben-Hur,tt0052618,1959,
The Ten Commandments,tt0049833,1956,
Singin' in the Rain,tt0045152,1952,
West Side Story,tt0055614,1961,
My Fair Lady,tt0058385,1964,
Mary Poppins,tt0058331,1964,
The Wizard of Oz,tt0032138,1939,
Citizen Kane,tt0033467,1941,
On the Waterfront,tt0047296,1954,
Roman Holiday,tt0046250,1953,
Breakfast at Tiffany's,tt0054698,1961,
An Affair to Remember,tt0050105,1957,
The Philadelphia Story,tt0032904,1940,
Guess Who's Coming to Dinner,tt0061735,1967,
Cool Hand Luke,tt0061512,1967,
The Great Escape,tt0057115,1963,
Sunset Boulevard,tt0043014,1950,
All About Eve,tt0042192,1950,
Rear Window,tt0047396,1954,
North by Northwest,tt0053125,1959,
Vertigo,tt0052357,1958,
Psycho,tt0054215,1960,
The Birds,tt0056869,1963,
Mr. Smith Goes to Washington,tt0031679,1939,
It Happened One Night,tt0025316,1934,
The Apartment,tt0053604,1960,
Some Like It Hot,tt0053291,1959,
The Sting,tt0070735,1973,
Butch Cassidy and the Sundance Kid,tt0064115,1969,
The Graduate,tt0061722,1967,
Midnight Cowboy,tt0064665,1969,
Terms of Endearment,tt0086425,1983,
The Longest Day,tt0056197,1962,
Patton,tt0066206,1970,
The Princess Bride,tt0093779,1987,
The Music Man,tt0056262,1962,
On Golden Pond,tt0082846,1981,
The King and I,tt0049408,1956,
Midway,tt6924650,2019,
Friendly Persuasion,tt0049214,1956,
Calamity Jane,tt0045591,1953,
The Quiet Man,tt0045061,1952,
Meet Me in St. Louis,tt0037059,1944,
Oklahoma!,tt0048445,1955,
The African Queen,tt0043265,1951,
The Great Race,tt0059243,1965,
Shenandoah,tt0059715,1965,
Giant,tt0049261,1956,
7 Brides for 7 Brothers,tt0046824,1954,
Carousel,tt0048983,1956,
South Pacific,tt0052225,1958,

BTS: Permission to Dance on Stage - LA,,2022,1022102
Chivas: The Movie,,2018,553674
Emicida: AmarElo - It's All for Yesterday,,2020,765613
Selena Gomez: My Mind & Me,,2022,1022256
Spirited Away,,2001,129
Dilwale Dulhania Le Jayenge,,1995,19404
Faustina: Love and Mercy,,2019,588709
Your Name.,,2016,372058
Folklore: The Long Pond Studio Sessions,,2020,768141
David Attenborough: A Life on Our Planet,,2020,664280
Grave of the Fireflies,,1988,12477
Heroes: Silence and Rock & Roll,,2021,812031
Queen: Live at Wembley Stadium,,1986,20575
Colombia: Wild Magic,,2015,364375
Gleason,,2016,373446
Spider-Man: Into the Spider-Verse,,2018,324857
Howl's Moving Castle,,2004,4935
Whiplash,,2014,244786
Lucy Shimmers and the Prince of Peace,,2020,770156
Racionais MC's: From the Streets of São Paulo,,2022,1033303
Princess Mononoke,,1997,128
The Legend of Hei,,2019,620249
The King of Kings,,2025,1181107
The Wild Robot,,2024,1184918
BTS: Yet to Come in Cinemas,,2023,1063453
We All Loved Each Other So Much,,1974,42269
Terra,,2015,395985
Spider-Man: Across the Spider-Verse,,2023,569094
Neon Genesis Evangelion: The End of Evangelion,,1997,18491
Ennio,,2022,396194
The Quintessential Quintuplets Movie,,2022,820067
Violet Evergarden: The Movie,,2020,533514
Modern Times,,1936,3082
Once Upon a Studio,,2023,1139087
The Intouchables,,2011,77338
City Lights,,1931,901
Love Meetings,,1965,42733
The Lion King,,1994,8587
Out of the Clear Blue Sky,,2019,654299
One Direction: This Is Us,,2013,164558
Billie Eilish: The World's a Little Blurry,,2021,654754
Baraka,,1992,14002
Klaus,,2019,508965
BLACKPINK: Light Up the Sky,,2020,740996
TAYLOR SWIFT | THE ERAS TOUR,,2023,1160164
Justice League Dark: Apokolips War,,2020,618344
"The Boy, the Mole, the Fox and the Horse",,2022,995133
Puss in Boots: The Last Wish,,2022,315162
Il Sorpasso,,1962,24188
Night and Fog,,1956,803
Wolf Children,,2012,110420
The Forge,,2024,1186532
Maquia: When the Promised Flower Blooms,,2018,476292
Coco,,2017,354912
Evangelion: 3.0+1.0 Thrice Upon a Time,,2021,283566
Wolfwalkers,,2020,441130
Dying to Survive,,2018,532753
Steven Universe: The Movie,,2019,537061
Shawn Mendes: In Wonder,,2020,752939
Piper,,2016,399106
The Kid,,1921,10098
Avicii - I'm Tim,,2024,1275945
My Hero Academia: Heroes Rising,,2019,592350
The Fresh Prince of Bel-Air Reunion,,2020,738362
Togo,,2019,606856
Rising Phoenix,,2020,726887
Ocean with David Attenborough,,2025,1448497
Queen: Days of Our Lives,,2011,74406
Jujutsu Kaisen 0,,2021,810693
Ultraman: Rising,,2024,829402
Pictures of Ghosts,,2023,1112548
The Remarkable Life of Ibelin,,2024,1167027
Ne Zha 2,,2025,980477
Wonder,,2017,406997
Latin Blood – The Ballad of Ney Matogrosso,,2025,1212121
KPop Demon Hunters,,2025,803796
WALL·E,,2008,10681
"Miraculous World: New York, United HeroeZ",,2020,755812
Far from the Tree,,2021,831827
Soul,,2020,508442
Flow,,2024,823219
The Tale of The Princess Kaguya,,2013,149871
HOMECOMING: A film by Beyoncé,,2019,593691
Black Clover: Sword of the Wizard King,,2023,812225
Green Snake,,2021,795607
Look Back,,2024,1244492
Music by John Williams,,2024,1076708
Super/Man: The Christopher Reeve Story,,2024,1128559
Violet Evergarden: Eternity and the Auto Memory Doll,,2019,610892
My Neighbor Totoro,,1988,8392
Where the Tracks End,,2023,1121316
New Gods: Nezha Reborn,,2021,663558
Samsara,,2011,89708
Memoir of a Snail,,2024,1064486
Me Against You: Mr. S's Vendetta,,2020,640344
Sherlock Jr.,,1924,992
How to Train Your Dragon: Homecoming,,2019,638507
Guillermo del Toro's Pinocchio,,2022,555604
Bo Burnham: Make Happy,,2016,400608
Bilby,,2018,528644
Chasing Happiness,,2019,601169
"ariana grande: excuse me, i love you",,2020,774372
Hachi: A Dog's Tale,,2009,28178
Bo Burnham: Inside,,2021,823754
Monster High: Why Do Ghouls Fall in Love?,,2012,167313
My Little Pony: Equestria Girls – Rainbow Rocks,,2014,292177
Paperman,,2012,140420
The Gold Rush,,1925,962
Toy Story,,1995,862
Chungking Express,,1994,11104
Won't You Be My Neighbor?,,2018,490003
Whisper of the Heart,,1995,37797
Transformers Prime: Beast Hunters - Predacons Rising,,2013,268092
Paris Is Burning,,1991,31225
Transformers One,,2024,698687
Weathering with You,,2019,568160
Robot Dreams,,2023,838240
Castle in the Sky,,1986,10515
Bohemian Rhapsody,,2018,424694
The Rescue,,2021,680058
Up,,2009,14160
Sanjuro,,1962,11712
Kitbull,,2019,574074
The Cove,,2009,23128
Hannah Gadsby: Nanette,,2018,529531
The Exterminating Angel,,1962,29264
"Red, White & Royal Blue",,2023,930094
Beyond the Universe,,2022,962232
How to Train Your Dragon,,2025,1087192
Tokyo Godfathers,,2003,13398
Castaway on the Moon,,2009,18438
Winter on Fire: Ukraine's Fight for Freedom,,2015,355020
Inside Out,,2015,150540
John Mulaney: Kid Gorgeous at Radio City,,2018,520594
